Review,Classification
 برنامج سيء حجزت على موعد وذهبت وهم مغلقين الساعه ٢بعد منتصف الليل وحجزت موعد آخر ولم أتمكن لضيق الوقت فالغيته ظنيت ان الموعد رسمي وكي لااتسبب في تأخير احد وعند اخذ موعد آخر رفض اعطائي موعد ولا يوجد تنبيه انه اذا اخذت اكثر من موعد تروح ,negative
 على طول حطيتونا عزل بس سجلنا حذفت التطبيق ,negative
 التطبيق مجرد إحصاء لأيام الحجر بعد التعافي من كورونا ٠٥٥٤٠٧٤٢٣٤ وكم رسائل عديد يوميا لمشاركة موقعي.. ولا أعلم كيف اوقف هذه الرسائل ولا مشاركه موقعي.. فأنا ملازم عنواني الوطني.. ولم يسأل عني احد او يتابع حالتي بعد خروجي من المستشفي وبقائي بالحجر المنزلي من 23/6/2020 ,negative
 تطبيق فاشل ويجبرك تجلس في البيت غصبن عليك سلامات . ,negative
 باختصار شنيع جدا ارجو عدم تنزيله ,negative
 عيا ينفتح معي ومدري وش فيه ,negative
 حملت التطبيق عشان احجز لي موعد واتطمن علا صحتي فقام التطبيق بوضع حجر 14يوم مع اني لست مصاب بااي مرض ولله الحمد ما العمل افيدوني طلع نتيجه الفحص سالبه(سليم ) كيف اطلع من البيت أو لا انا محاصر جميع اهلي يطلعون الا انا 😢 ,negative
 ابوكلب خايس ,negative
 للاسف التطبيق متعب سجلت فيه وبعدين حذفته وسجلت الوالده وبعدين حاولت ارجع حسابي مره اخرى فلم استطع اعيد بياناتي مره اخرى و حاولت ادخل من جهاز ثاني يرفض تطبيق سيئ للاسف اتمنى اعادة النظر في التطبيق او تحسين واضافة خدمة الخروج من التطبيق ,negative
 سيئ جدا انا منزل التطبيق على اساس أستفيد منه بحجز موعد للفحص لأطمأن على صحتي و تم تسجيلي كمصاب بكرونا ,negative
 الموقع ليس شغال× ليس جميل لا انصح بتجربته ,negative
 اذا جلست وأدخلت بياناتي يجيني اخر شي عذراً هناك خطأ ,negative
 فاشل ولا يعمل بطريقه صحيحه... حسافة التزيل اخذ مساحه على الفاضي... ,negative
 المعامله زي الزفت فضلت واقف ساعتين مستني ,negative
 سئ جدااااا جدا مافيه تواصل ولا احد عبرنا ولا احد رد على استفسارتنا والعزل خاططئ ,negative
 كنت اريد اخذ موعد وللاسف التطبيق كتبتي مصابه اريد أن احذف التطبيق وبياناتي ولاسف لااجيد استخدام التطبيق ,negative
 نزلت التطبيق للفائدة واعطاني حجر وانا سليمه إيش الحل ,neutral
 ماقدرة دخل رقم الاقامة مايكتب الرقم ما بعرف ليش رقم جوالي انكتب بالغي شكلي ,negative
 انا سجلت علي انه برنامج تثقيفي وافاجئ انه عملي عزل منزلي وانا الحمد لله ما عندي شئ كيف الغيه ,negative
 تطبيق سيء جدا .. لا يوجد تنبيه أنه خاص للمرضى أو للمخالط بأحد أُصيب بالمرض. ,negative
 حملتو سالني ع الاعراض وجاوبت انو مافيني شي وسوالي حجر وبدا يعد ١٤ يوم ... المشكله انو كل شوي يرسلولي رساله انو شغلي الموقع والموقع من الاساس شغال ماقفلتو .... افيدوني ,negative
 كذابين من الاخر ,negative
 التطبيق عندي فيه مشاكل كثيرة سواء فعلت الموقع او مافعلته توصلني اشعارات كثيرة لطلب تفعيل الموقع وانا حددت موقعي في العزل النقطة الثانية لا يممكني رؤية تفاصيل المخالطين الي انا قمت باداخالها..الثالثة لا تصلني اي تقارير او استبيان يومي مع اني في اليوم الخامس من العزل اعتقد يحتاج للتعديلات والصيانة للاندرويد لم استفد منه فقط ازعاج الاشعارات المتواصلة بطلب تحديد الموقع حتى نتيجتني الايجابية لم تظهر في التطبيق وايضا لايمكنني طلب فحص جميع امكانته معطله ,negative
 التطبيق يقلي اعزل نفسك على اية اساس الحمدلله ماعندي شي ولا خالط احد وطلبت مساعدة ولم يتم التواصل معايه ,negative
 لا يوجد تعديل فيه و لم يسأل عن الاعراض او امكانية اضافة التقرير او النتائج قمت بعمل إعادة البرمجة الى المصنع و قمت بتنزل التطبيق و لا يمكن الدخول الرسالة لايمكن تسجيل الدخول انت مسجل على جوال اخر يرجى الاتصال ب ٩٣٧ ,neutral
 للاسف برنامج يحتاج الى تطوير من غير الممكن تعديل وقت بداية الحجر الصحي ومعلومات المصاب دائما غير متوفرة ,negative
 خاص بمصابين ,negative
 مجرد مادخلت معلوماتي يقولي عزل كيف اعزل نفسي ومافيني شيء ولا اي اعرض انا افتكرته برنامج تثقيفي ودخلت بياناتي كيف الطريقه لحذف البيانات وراما مصالح ودوام ,negative
 كيف يطلب مني احجر نفسي وانا سليم ولم اخالط مصابين ؟ ,neutral
 ما في شي اسمه تطبيق تباعد والظاهر وعلى ما يبدو في وإزعاج ,negative
 مشكلته تخلص من الحجر المنزلي وما يطلع عندك نتيجة الفحص ,negative
 برنامج فاشل لان اناجيت ابي اسجل عشان افحص فقط غير اني معزل نفسي فلبيت ليا شهر تقريبا ولمن جيت اسجل عساس اسوي موعد فحص اجبرني اني احجر نفسي 14 يوم 🙃 مع انو ماخالطت اي احد مصاب ولا فحصت قبل كذا ,negative
 بمجرد تسجيلي طلع اني في عزل وانا ماني مصاب والحمد لله كيف كذا؟ ,negative
 البرنامج يجبرني بالعزل في المنزل واقرار بالعزل وانا لست مريض هناك خلل في البرنامج ,negative
 لماذا يطلب مني التطبيق الحجر لمدة ١٤يوم وانا لم افحص تطبيق فيه اخطاء ,negative
 برنامج من جنبها تم الحذف بنجاح كبير😡👊 ,negative
 الناس متكاسله جدا ,negative
 مايصلح انا دخلت وحملت البرنامج وانا سليم ولا اعاني من اي شي وعلئ طول سواء لي حجز وانا دخلت من باب اشوف وش يفيد هذا التطليق ,negative
 غيرت الجوال والبرنامج ما يدخل بالجهاز الجديد يقول ادخل من جهازك القديم وش هالتطبيق الغبي.... صراحة فاشل وخدمة الشكاوي يقولون وين جوالك القديم طيب ... وانتم اش دخلكم يامتخلفين ,negative
 لماذا تم حجري ١٤ يوم اختياري بدون حق ,negative
استنيت كتير بس في الاخر خلصت الورق ,neutral
 مايقفل معي الجهاز ,negative
 روحت عملت الخدمه دي النهارده ,neutral
 تزلت البرنامج علشان اعمل فحص للاطمئنان واخذ موعد يفولك حجر وعقوبة . ,negative
 تطبيق فاشل جدا جدا ,negative
 برنامج به اضطراب وخطأ يعني أنا دخلت التطبيق و بغيت أشوف محتواه لتوعية الناس فتم جعلي مصاب ويبدأ عداد 10 أيام ويبغون موقع البيت يعني شيء غلط لأنه المفروض في خاصية إما للتأكيد أو الرفض أو التعديل وليس هكذا والله ماوجدت طريقة لإلغائه لذا سأقدم شكوى لوزارة الصحة عن هذا التطبيق لتصحيح هذه الثغرة لأنها ستشكل ضغط كبير من المعلومات الخاطئة و إزعاج للدولة و الحكومة و الوزارة إذا كان هناك من هم غيري وقعوا في نفس المشكلة .. وشكرا فأنا إذا أردت شيء من تطمن فسأذهب لعيادة تطمن مباشرة ,negative
 التطبيق سجلت فيه ومقدرت ادخل ثاني ولا فيه دعم او مساعده للبرنامج كل ماادخل يرد علي انه تم الدخول من جوال اخر ,neutral
 نجمه وحده سبب ميلاد صعب ذا ثاني مرنامج احمله و احذفه سبب ذا اتافه ☹️💔💔💔 ,negative
 سيء جداً جداً حملت التطبيق وطلب مني استبيان ثم البينات الشخصية ويقول لي حدث خطأ ما ولم يفعل معي البرنامج ,negative
 انا سجلت بي الغلط ,negative
 انا سجلت من أجل حجز موعد ولكن فرض عليا حجر منزلي ازاي اخرج من التطبيق بدون عقوبات ,negative
 فيه خلل بالتطبيق مجرد التسجيل فيه يعتبرني مصاب ويجب العزل الصحي ولله الحمد انا سليم ولكن كنت احب التعرف ع التطبيق والقراءة عن فيروس الكورونا خوفني هذا التطبيق والله. ,negative
 انا الحمدلله ليس لدي أي أعراض ونزلت التطبيق لاني كنت اعتقد انه برنامج ارشادي وفيه نصائح وفيه خيارات عند الحاجة لا سمح الله ولكن تفاجأت انه برنامج غير مرن ويطالبني بتحديد موقع الحجر وتعهد واعتبرني مصاب.. بطلنا وحذفناه وأرجو من المسؤلين عن البرنامج تعديله وان يكون هناك خيار لمن يرغب العزل والفحص أو من يرغب الاستفادة والمعلومات فقط ,neutral
 السلام عليكم انا دخلت التطبيق تطمن ودخلت بالحساب برقم الإقامة وطلع لي ارسل الموقع وبالغلط ضغط على الحجر وطلع لي حجر 14يوم وانا الحمد لله لا اشكو من اي اعراض لأي مرض و الآن اريد كيف اخرج من الحساب افيدوني بارك الله فيكم ,neutral
 انا مارحت ولاخالطت احد مجرد عبيت بيانات فرض علي حجر منزلي ليش برنامج سئ ,negative
 تطبيق سيء ,negative
 كيف تجبرني على العزل وانا بصحة وسلامة وعافيه والحمد لله ,negative
 التطبيق غير دقيق يطلب مني معلومات عن الحجر الطبي وانا غير متواجد اساسا في الحجر ولكن كنت اريد ان احجز موعد لعمل مسحة لأني كنت مخالط شخص مصاب ,negative
 تطبيق فاشل ابغى اخذ موعد مافي واجباري اني اجلس في الحجر الصحي مع اني ابغى اعيد اخذ تحليل ويش هذا الاهمال وعلى كيفه يحطني في العزل وانا لي شهر في العزل بس ابغى اعيد التحليل صراحة تطبيق 👎👎👎 ,negative
 التطبيق فاشل مايستحق ولا نجمه كذب في كذب ضحك علي الناس بتحميل التطبيق ,negative
 نزلت التطبيق على اساس انه للتوعيه ولكن اتضح لي العكس هو خاص بالمصابين الله يشفيهم كيف اسجل خروج اللي يعرف يفيدني المفروض يعلمونا انه للمصابين ,negative
 انا شخص سليم الحمدالله ولا اشتكي من الأعراض إطلاقا لكن ابي افحص للاطمئنان فقط ليه تجبرني على العزل وتحديد بيتنا خلاص ما نبي نفحص المشكله قبل التسجيل فيه اسئله والمفترض بناء على هالاسئله تحددون العزل مو اي واحد يلا عزل وإذا خالفت انت عرضه للعقوبات ,neutral
 انا مواليد مقيم ويطلب مني المولد بالميلادي ومسجل في الهوية بالهجري لم أعرف اسجل في البرنامج ,neutral
 لماذا عند تثبيت البرنامج (يفترض من كيفه) إن موقعي الحالي هو منزلي ويجبرني على ان اتعهد واقسم واحلف وأقر أن التزم بالحجر في هذا المكان !؟ واذا طلعت منه فإني عرضه لجميع انواع العقوبات !! طيب خلوني احلل وبعدين يصير خير يمكن ماني مصاب وحتى لو تحليلي إيجابي وقتها لكل حادث حديث بصراحة البرنامج سيء سيء ولو لاالحاجة ماحملناه ⁦👎🏻⁩ ,negative
 سجلت بياناتي كلها سليمه ولا اعاني من اي اعراض او مخالطه او اصابه سابقه ومع هذا طلب مني اقرار ووضعني تحت العزل كيف اغير الاعدادات التطبيق يحتاج لتعديل اكثر ,neutral
 للاسف لا يرسل رقم التحقق اتمنى معالجه المشكله في اسرع وقت ,negative
 عبارة مطمن تقليل جداً ,negative
 البرنامج مش عاوز يتحمل عندي ,negative
 انا سجلت فيه بس عشان اعرف كيفية الوقاية من فايرس كرونا يعطينا ايام للعزل مافي اي تعديل بالخصوصيات ولا خروج منه افيدونا يعطيكم العافيه ,neutral
 ✔️ الخدمه فوق الممتاز,positive
 فيه خلل دخلت بالخطأ وتورطت فيه ,negative
 ماعندهم موضع للاسف ,negative
 الموظفين تعاملهم سيء ,negative
 انا موجود الان في الحجر التطبيق علق وخذفته وحملته من جديد وجيت اسجل دخول يقولي (عذرا حدث خطا ما) ,neutral
 للأسف التطبيق فاشل، يطلب دائما مشاركة الموقع، وأنا شاركت الموقع فعلا، ويتصل عدة مرات يطلب عدم مغادرة موقع العزل وأنا اصلا محجور في الفندق. ,negative
 واجهتين مشكلتين ما لها حل: ✿ الخطأ في المدة لا يمكن تصحيحه. ✿ اذا سجلت من جوال آخر انتهى وضعك، ما تقدر تغيره. تم التواصل عدة مرات ولا حل لذلك ولا أي استجابة 🤔 ,negative
 تطبيق لايعمل وخيار المساعدة لا يعمل!!! ,negative
 لا يمكنني أن اعيد العزل مره اخرى ,negative
 فاشل لاتستطيع ان تعيد العزل مرة اخرة بعد انتهاء فترة العزل الاولي . حيث لايفتح مرة اخرى . فقط تاتيك صفحة مبروك انتهاء العزل . فرضا اصبت بعد ذلك ما العمل وهو غير هذه الصفحة لايفتح شي . انصح القائمين بمراجعة التطبيق وتحديثه وتصحيح الاخطأ التي به . ,negative
 هذا التطبيق لايحمل على جوالي ... لماذا ؟ ,neutral
 طلب مني مشاركة الموقع ولا يوجد أيقونة المشاركة ولا يعمل بشكل جيد ,neutral
 لمن اسجل رقم الهوية وتاريخ الميلاد يقول خطأ مدري ليش ,negative
 سيئ ولا يحدث الموقع وباليوم الف رساله كل 5دقايق يطلب تشغيل الموقع وهو شغال اصلا والدعم مايردو والطاسه ضايعه ,negative
 يعيب البرنامج بان الرساله التي تظهر بعد انتها الحجر تحجب الصفحه الرئيسية للبرنامج واذا احتجت مساعده لا يمكن تخطيها ,negative
 عند التسجيل في البرنامج سيبدأ يحسب لك مدة الحجر الصحي للمشتبه بإصابتهم حتى لو ما فيك الا العافيه ههههههههههههههههههههههههههههه أنا حملته عشان مره سمعت متحدث الصحه يقول تقدر تتواصل مع الصيدليات عن طريقه أو تبحث عن أقرب صيدلية متوفر فيها دواء فتورطت في هالتطبيق الفاشل الي يقول لي لا تخرج إلا بإذن وانت في حجر صحي ومن هالخرابيط التي تقدم معلومات مغلوطة باعتباري مشتبه بإصابته وخاضع للحجر الصحي ,negative
 طيب الي من ذوي البدون وش يسوون ,negative
 جميل ,positive
 فندق سينترو الواحه غير موجود ارجو اضافته ,negative
 اصلا التطبيق ماهو راضي يخليني اسوي حساب ,negative
 سجلت على اساس توعيه لاكن طلع برنامج للمصابين وانا بخير في اتم الصحه كيف اطلع من البرنامج ,negative
 غير مفهوم العزل المنزلي والحجر الصحي والفرق بينهم لذا يتعذر التسجيل بالتطبيق ,neutral
 اغلبيه الى حملو التطبيق قامو بتحميله بدون معرفه نوع عمله وانا واحد منهم انت كانت فاكره بيعطى معلومات عن حظر التجوال وموعد انتهاء يعنى حمله التتبطق وسجلت فيه بلغلط وربنا بستر ويسلم ,negative
 ازعجني برسائل نصيحة لا يشترك الا لمن عنده اعراض ,neutral
 انا حملته فكرته زي موعد فيه اسئله وتجاوب عشان تطمن على نفسك واظن انه طلع للمصابين شفاهم الله وعافانا مما ابتلاهم كيف الغي الرسائل اللي تتطلب تحديد موقعي لان التحميل للتجربه فقط وانا ولله الحمد لااعاني من اعراض ,neutral
 ياناس انا سجلت في التطبيق بالغلط وانا بخير الحمد لله كيف الغي الاشتراك كل شوي يجيني رسائل ,neutral
 تحت التجربه ,negative
 ليه اسجل واضغط التالي مو راضي يضغط ,negative
 ياجماعه انا سجلت بالغلط ارجو من القايمين على هذا التطبيق حذفي منه ضنيت انه مجرد معلومات ,negative
 اخي الكريم انا الحمد لله بخير وعافيه بس انا نزل التطبيق بغلط بتواصل رسايل كتير مش عارف اوقف هذا التطبيق ارجو من صاحب التطبيق ان يغالي لي بيانات وشكرا ,negative
 تطبيق لمن يريد الحظر لنفسه ,neutral
 انا سجلت فى على اساس معرفه الحالات والوقائه من المرض وانا الحمد لله بخير وبدون ايه مشكله صحية الرجاء معرفه كيفيه الخروج من البرنامج ,neutral
 يرجى اصلاح التطبيق لنسخة أندرويد لا يستجيب ,negative
 تطبيق زفت ما يشتغل وما يقبل اى معلومات وبطىء جدا جدا ,negative
 لا يعمل ,negative
 اذا ضغطت على التسجيل لايعمل ,negative
 التطبيق لا يفتح عندي بعد تسجيلي للبيانات... ايش المشكلة ؟؟😡 ,negative
 حملت التطبيق وسجلت رقم البطاقة. ثم رقم الجوال وحاولت اعمل تسجيل دخول. ما أستطيع التطبيق ليس مرن مع جوالي الهواوي برو 30 فيه مشكله بالتسجيل ما تقدر تدخل. ,negative
 ما يسجل معايا.. مع اني ادخل كل البيانات ,neutral
 أدخلت البيانات رقم الإقامة والجوال ولم يعمل ,neutral
 لايفتح ؟؟؟ ,negative
 يطفي من حاله ماغدر اخش ,negative
 السلام عليكم حملت البرنامج وتورطت فيه انا الحمدلله بخير ومافيني الا العافيه كيف الغي الرسايل اللي توصلني الرجاء من القائمين على البرنامج بحذف بياناتي دخلت بالغلط ,negative
 البرنامج يرسل رسائل نصية تثير الهلع ,negative
 لا احد يحمله الا المصابين حملته وتورطت بالرسايل احسبه توعوي وللاعراض ,negative
 تجربه. فقط. تجربه البرنامج ,negative
 الحقل المخصص للهويه لا يسمح بكتابة اي ارقام فيه. بس حقل رقم الجوال هو اللي يشتغل وبالتالي لا يتم السماح بدخول التطبيق ,neutral
 تعبان وتمنا الغا مثل هاتطبيق الي يصعب على المريض الوصول للمستشفى بسهوله يعطيك موعد في الشهر او لايوجد ولو رت للمستسفى تلقاه فاضي اتلعب وضع من خلال التطبيقات ,negative
 فيه مشكل ,negative
 متعبة ,negative
 ضعيف المستوى والمحتوى ,negative
 التطبيق لايعمل اثنا التسجيل ,negative
 انفقعت مرارتي واناادخل البيانات مايقبل لاايميل ولارقم سري ولاتاريخ ميلادكني احل امتحان صعب واسم المستخدم وشوه ماعرفته غششوني ,negative
 لم استفد اي شئ من التطبيق ويبدو انه لا فائدة منه اصلا حيث كان الرد لابد من مراجعة الطبيب علما بان شكوتى التهاب جيوب انفية والتهاب لوز سبحان الله ,negative
 التطبيق معقد وسيئ جدا ولا يخدم الناس ولا منه أي فائده ,negative
 ماقدرت اوثق الجوال لعدم ارسالهم الرمز مع كثرة الطلب والتكرار لايرسلون رموز ,neutral
ايه الارف ده,negative
 التطبيق عندي سيء جدا اذا جيت بأخذ استشاره يعلق وما اقدر ادخل الا بشق الانفس ليت تشوفو مشكلتي ,negative
 فاشل ,negative
عندي مشاكل  ,negative
 سيئة جداً ,negative
 م يسجلني ,negative
 سيئين اغلب الطاقم ينهون الجلسة ولايعطونك جواب وقلة ذوق واستحقار للمرضى حسبي الله عليهم ,negative
 الخدمه سيئه,negative
 فاشل لايوجد تجاوب مع الاستفسارات ولا المرضى ؟ تم الحذف ,negative
 برنامج فاشل ,negative
 تطبيق غبي يحتاج الى تطوير ,negative
 تطبيق معقد وسيئ اكثر من اللازم نسيت اسم المستخدم أنس تسجل مره ثانيه ولاتفهم وش المطلوب بالمعنى الحقيقي فاااااشل ,negative
 احاول التسجيل . ولاكن لم يتم إرسال رمز التوثيق مرتين وثلاثه ,neutral
 برنامج فاشل فاشل لي ٤ايام احاول اسجل حسابي ونجي عندارسال الرمز ويقول غيرمتصل ,negative
 يعلق كثير احيانا تم الجلسة ,negative
 ما السبب في أنني كلما أردت الدخول على البرنامج تظهر لي بطاقة ( اسم المستخدم أو كلمة السر غير صحيحة ) رغم أن جميع المعلومات صحيحة . ,negative
 التاريخ كتبته غير الصحيح ومشى معي لاينعرف له ,negative
 موراضي يقبل اسم المستخدم معقد ,neutral
 لا أحد يحمله لاني حملته وكل مابغيت موعد يعطي أحمر مافيه مواعيد يعني تمرض وتتشافا ماعطوك استشاره على قولهم ,negative
 للأسف تثبيت البرنامج يطلب منى الدخول للحساب واختيار الجهاز وبعد عمل المطلوب لا يتم التثبيت ,negative
 عملت البطاقه النهارده ,neutral
 عدم الرد ليه كم من يوم اخذت المسحه ولم يتم الرد ,negative
 جاوبت كل الاسألة واخر الشي يقول عذار هناك خطئ احسه سحب معلومات فقط 🤨 ,negative
 طول الوقت معطل ,negative
صعب جدا ,negative
 موبايلي لم تتقيد بالتعليمات الواضحه والصريحة لتقديم خدمة الاتصال لمستخدمي البرنامج ومره أخرى شكرا STC ,negative
 برنامج سيئ مره لا يوجد استشارين كلو كذب ,negative
 حسبي الله ونعم الوكيل بعدما جلست قرابة النصف ساعة في الإجابات تظهر لي أخيرا رسالة تقول خطأ..عذرا مقدم خدمة صحة الذكي الخ..ثم يقفل نافذة الإجابات... ,negative
 كانت سيئة جدا حاولت أحجز موعد ولم استطع كل المواعيد محجوزه زودو يوم ثالث للاتاحه لأخذ موعد ,negative
 سيئ ولا احد يحمله لي يومين ومو راضي يسجل ..كلام فاضي وضياع وقت ,negative
 فاشل ما يفتح ,negative
 علا زق وربي زق زق زق انصح بعدم تنزيله خسارة وقت وخساره باقة ,negative
 لماذا لم يتم تسجيل حساب جديد يوصل اشعار يقول اسم المستخدم خطأ عملت كل شيء زدت أحرف نقصت ونفس الحال ! ,neutral
 من وضع البرامج يستهبل على الناس يجب تغيير كيفية ادخال تاريخ الميلاد او حذفه شيء يرفع الضغط . ,negative
 كانت الخدمة جيدة الان تبغى تتواصل يقولك لازم حجز موعد ول٣ ايام قدام مالقيت موعد للحجز...ياريت ترجع الخدمة مثل اول ,negative
 البرنامج غير فعال ,negative
 تاريخ الميلاد اخذت وقت طويل ان اجده وبالاخير ماسجله لي ورجع علي تاريخ نفس اليوم هذه ببداية التسجيل لازم يوضع تسجيل الميلاد كتابه ,neutral
 افشل تطبيق وام التعقيد في التسجيل الله يلعنهم الا يعقدونها ,negative
 اول شي مشكله ماقدر اقيم طبيبه لانه ممكن دكتور دا مافادني ب ايش يعني ع سبيل مثال في دكتور وصفت له حالتي ب كامل اخرتها يسالني اساله موجوده في سستم ومايردو بدري ودا ياخد من وقت و الإستشارات ٣ بس في شهر المفروض ٥ وكمان في حركه بايييخه دكتوره وافقت ع طلبي وخلتني اسجل اكتر من ١٠ دقايق انطرها يعني لو كان عندك مريض تاني مايحتاج توافقي حقيقي مفروض يددقو ع اشياء كتيير ,negative
 بيقولي كلمه المرور غيرصحيحه ولازم اكتب فيها ارقام وانا كاتبه فيها كل شي مايدخل معاي برضو ,negative
 حرام فيكم النجمة ,negative
 قسم الاستشارات سيء جدا ما يردون يعطيك موعد بعد يومين طيب أنا ما طلبت استشارة إلا لأني مضطر.. حط لايك 👍 ,negative
 سئي ,negative
 اسوء من سئ وفاشل ولا يستجيب برنامج معقد ,negative
 😢  شيئ يحزن,negative
 سيئة جدا ,negative
 تطبيق فاشل بمعنى الكلمه ما قدرت استرجع حسابي يرجى اصلاح المشكله ,negative
 ليس متوفر لدول المغرب . يطالبونك بإدخال رقم هاتفك وعندما تدخله يقولون الصيغة خاطئة . لم استطع تجربته ,negative
 غير مفيد اريد مواعيد اسنان ,negative
 الخدمه متاحه من صباحا حتى ١٢ ليلا فقط ,neutral
 برنامج كذب بس الواجهه جميله ولكن لايخدم بشكل جيد ,negative
 حسبي الله ونعم الوكيل انتظرت اسبوع كامل عشان اتواصل مع طبيب الخدمه الهاتفيه ٩٣٧ افضل بكثير ,neutral
 مايبغا يسجل يقول الاسم وغيرت اكتر من مره مايسجل وش الحل طيب وش نسوى ,negative
 تطبيق ياخذ جهد في تاريخ الميلاد وبعد الجهد مايثبت تاريخ الميلاد. خاصه سنة الميلاد طريقه بدائية للأسف ,negative
 غير ممنون ,negative
 والله حاولت اتواصل مع طبيبي اللي يصفرلي علاجاات من غير فايده لا مقابله ولا اتصال ولا اي وسيله توصلني له من شهر 3 هجري الى الان ومافي اي تواصل بيني وبين الدكتور لكن الله معاي ,negative
 للاسف بعد عناء التسجيل وعناء الفحص الطبي أكثر من نصف ساعة اسئله واجابات وبعد الانتهاء يقولى حصل خطأ ومعاودة فى وقت لاحق والله قهرنى ,negative
 دون المستوى المأمول.. ,negative
 احتاج اضغط على السهم للخلف ٤٩٠ مره تقريبا عشان ادخل تاريخ الميلاد .. اعتقد يحتاج تطوير ,neutral
 التطبيق التاريخ فيه خربان مافي طريقه للتعديل كل مااحاول اعدل التاريخ يرجع البدايه ,negative
 جداً سيئة مع الأسف أكثر من ٤٠ دقيقة إنتظار وفي النهاية الرد اني لم استجب سلامات إلغاء التثبيت ,negative
 يحتاج مجهود للرجوع للتاريخ لمن هم في ٤٠ وكلمت المرور لاتقبل جدا سي ومتعب ولا يفتح ,negative
 سيئ جدآ☹️☹️☹️ ,negative
 تطبيق فاشل يعاني من مشاكل تقنية أثناء حجز استشارة!؟ متى نتطور ,negative
 بعد ماقضينا نص ساعة معو.. ونحن نجاوب عالاسئلة.. بالاخير نواجه مشاكل.. جعلك ماتلاقي حل لوجع مفاصلك ,negative
 سئ جدا عند محاولة التسجيل ادخل المعلومات ويطلع لي خطأ حاولت اكثر من مرة ويطلع خطأ مع العلم طريقة تسجيلي سليمة + في الفحص الذكي دائماً يطلع لي حدث خطأ + في محادثة التشخيص ماطلع لي رد الدكتور الا يوم قفلت البرنامج ورديت فتحته قعدت نصف ساعه استنى رد الدكتور وتالي طلع الدكتور راد علي لكن التطبيق ماعطاني ان الدكتور رد علي وانا في المحادثه مباشره مايطلع ان الدكتور رد ,negative
 التطبيق جدا سيء رسايلي ما توصل للطبيب و رسايله ما توصلني و كل شوي يعلق و ما استفدت من الاستشارة شي 👎 ,negative
 برنامج دايم مشغول من امس الى اليوم وانا احول اخذ موعد مع طبي يعطيني الون الاحمر يعني مشغول طول الوقت طيب وش الحل ,neutral
 ذكاء صناعي.. قال.. هههه والله من الخراط ,negative
 زبالة ,negative
 مواعيد على طول مافي ( كذابين) ,negative
 فاشل تكتب كلمه وحده عن الحاله الصحيه مثال (قولون ) يقول اختصر العباره طويله ههه ,negative
 فاشل تطلب تقييم وبعد ربع ساعه من الاسئله يقول البرنامج يعاني اعد المراجعه فاشلين ارسل لي التطبيق ولكن جميع المحاولات لم تعط نتيجه ,negative
 سئ جداً ,negative
 ليه مايكون تاريخ الميلاد (هجري) ,negative
 ولا بفتح ,negative
 فاشل ..عند التسجيل يعطيني مسجل برقم بريد حينما اطلب استرجاع الرقم السري لا يرسل ويطول وهو يحمل ,negative
 ولكم جزيل الشكر والتقدير لجميع الاخواة والأخوة على النجاح هذه البرنامج الرائع في الأداء. ,positive
 تحت التجربة ,negative
 ياجماعه كل لم اكتب البريد الالكترونى يقول خطا ياجماعه ونبى حد يقولى اعمل ايه بقالى ساعه بحاول ويقولى خطا خطا ,neutral
 حملت اربع تطبيقات لوزارة الصحة وللأسف لم استفد من اي تطبيق كانت كل التطبيقات بمثابة عوائق عن الوصول للخدمه المطلوبه ,negative
 مواعيد لايوجد صعب تحجز غير مفيد تماما ,neutral
 لا استطيع التسجيل.... تطبيق معقد ,negative
 تطبيق مفيد للتسليه واضاعه الوقت لكن طبيا بلا اي فايده حتى المواعيد مو راضي يسجل ,negative
 سيء وجميع مواعيدكم باللون الاحمر . ,negative
 فاشل اشد من الفشل نفسه صعب ومعقد التسجيل تدخل الرمز المرسلزويفيدك انه انتهت صلاحيته الله ينهي ايامكم ,negative
 المشكله تاريخ الميلاد صعب جدا لماذا وضع بهده الطريقه انا عمري فوق الخمسين سنه واجهتني مشكلة تاريخ الميلاد ماعمري رأيت تطبيق بهذا الاختيار الصعب وماقدرت اوصل لتاريخ ميلادي 1968 ,negative
 تظهر الرسالة عذرا هناك خطأ تقني ,negative
 تطبيق خايس من اوله ادخل رقم جوالي يقول مسجل سابقا يعني من البدايه تطبيق تعبان وماخفي اعظم ,negative
 بلله هذا يعقل انك تروح مستشفى حكومي عشان تفحص ويرجعوك يقولو مالك فحص اول نزل البرنامج وسجل فيه انا تعبان وساعه ماسك طابور وخرتها سجل تطبيق زباله تاريخ ميلاد وحاجه قرف ياخي افحصني وبعدين امصحني موتعاملني ك اني كلب وترجعني ,negative
 مو راضي يتحمل التطبيق 😢 ,negative
 زي قلته تعبي البيانات وتتعب ويقولك في الاخير اسف تسوي طلب مع الدكتوره ويقولك خلال يومين الرد وفي اليومين ما في اي موعد للحجز تضحكوا علينا ,negative
 التطبيق فيه مشكله لا استطيع روئية المحادثة مع الدكتور. لم خرجت و رجعت ع المحادثة لاحظة الدكتور يقول الوووو الوووو مما يعني أن الدكتور رد علي ولكني لم اشاهد المحادثه ,negative
 برنامج غبي وغير مفيد ,negative
 كلمة سيء قليلة فيه، ,negative
برنامج زباله بس ,negative
 لايوجد تشخيص أو توجيه صحيح ,negative
 برنامج خسيس ,negative
